id_str	tweet_url	created_at	text	lang	retweet_count	screen_name	hashtags	query	user_mention	url	media	in_reply_to_screen_name	in_reply_to_status_id
347274424480842000	https://twitter.com/zeridos89/status/347274424480841728	2013-06-19 08:47:29+00:00	Indicare dei punti di interesse in una ripresa video grazie al motion tracking di un singolo punto #archeofoss http://t.co/yynytiQoON	it	0	zeridos89	archeofoss	#archeofoss			https://pbs.twimg.com/media/BNHEP8dCQAAfCCE.jpg		
347283412245172000	https://twitter.com/stekosteko/status/347283412245172224	2013-06-19 09:23:12+00:00	F. Stanco presenta un esempio di digital epigraphy #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
347286933724086000	https://twitter.com/pr_archeologo/status/347286933724086273	2013-06-19 09:37:11+00:00	RT @OpenPompei: buongiorno da #archeofoss! vi ricordate che il 21 si chiude la call per entrare nella nostra long list di esperti? http://t…	it	1	pr_archeologo	archeofoss	#archeofoss	OpenPompei				
347287106252587000	https://twitter.com/pr_archeologo/status/347287106252587008	2013-06-19 09:37:53+00:00	RT @archeomatica: Anche oggi #Archeofoss! Seguite gli aggiornamenti tramite i tweet di @stekosteko e @g_gattiglia	it	1	pr_archeologo	Archeofoss	#archeofoss	archeomatica				
347289617390780000	https://twitter.com/FilippoStanco/status/347289617390780417	2013-06-19 09:47:51+00:00	"""@GioSkellington: Ad #archeofoss @FilippoStanco presenta l'analisi dell'epigrafe del Mendolito di Adrano. http://t.co/XAE1qyVKWG""grazie"	it	0	FilippoStanco	archeofoss	#archeofoss	GioSkellington		https://pbs.twimg.com/media/BNHPKpWCEAACrRq.jpg		
347290219466342000	https://twitter.com/pr_archeologo/status/347290219466342400	2013-06-19 09:50:15+00:00	"Seguendo il livetwitting di #archeofoss ci siamo imbattuti in questo video. Enjoy it! @_patsan_  @antoniafalcone 
http://t.co/jg16TAzlip"	it	2	pr_archeologo	archeofoss	#archeofoss	_patsan_	http://m.youtube.com/#/watch?v=Q9axmMfYFuM&feature=youtube_gdata_player&desktop_uri=%2Fwatch%3Fv%3DQ9axmMfYFuM%26feature%3Dyoutube_gdata_player			
347290388677140000	https://twitter.com/OpusPaulicium/status/347290388677140480	2013-06-19 09:50:55+00:00	"RT @pr_archeologo: Seguendo il livetwitting di #archeofoss ci siamo imbattuti in questo video. Enjoy it! @_patsan_  @antoniafalcone 
http:/…"	it	2	OpusPaulicium	archeofoss	#archeofoss	pr_archeologo				
347290848746172000	https://twitter.com/stekosteko/status/347290848746172416	2013-06-19 09:52:45+00:00	Paola Piani presenta un confronto tra strumenti proprietari e FOSS per modellazione di sito archeologico da immagini UAV #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
347292622617969000	https://twitter.com/stekosteko/status/347292622617968640	2013-06-19 09:59:48+00:00	Piani: fare confronti è difficile (hardware e parametri diversi) ma FOSS ha margini di miglioramento in usabilità, precisione #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
347294912938664000	https://twitter.com/stekosteko/status/347294912938663936	2013-06-19 10:08:54+00:00	Eliana Siotto su MeshLab e Blender per la ricostruzione della policromia nei monumenti antichi #archeofoss	it	0	stekosteko	archeofoss	#archeofoss					
347295921232560000	https://twitter.com/antoniafalcone/status/347295921232560128	2013-06-19 10:12:54+00:00	"RT @pr_archeologo: Seguendo il livetwitting di #archeofoss ci siamo imbattuti in questo video. Enjoy it! @_patsan_  @antoniafalcone 
http:/…"	it	2	antoniafalcone	archeofoss	#archeofoss	pr_archeologo				
347300188790084000	https://twitter.com/FilippoStanco/status/347300188790083584	2013-06-19 10:29:52+00:00	#archeofoss é in corso la sessione 3D...	it	1	FilippoStanco	archeofoss	#archeofoss					
347307850101555000	https://twitter.com/FilippoStanco/status/347307850101555200	2013-06-19 11:00:18+00:00	"""@stekosteko: F. Stanco presenta un esempio di digital epigraphy #archeofoss"""	it	0	FilippoStanco	archeofoss	#archeofoss	stekosteko				
347307989587358000	https://twitter.com/FilippoStanco/status/347307989587357696	2013-06-19 11:00:52+00:00	"""@stekosteko: Effetti speciali ad #archeofoss: manca la corrente elettrica :) G. Gallo prosegue il tutorial""bel momento di panico"	it	0	FilippoStanco	archeofoss	#archeofoss	stekosteko				
347337203338322000	https://twitter.com/PirroNord/status/347337203338321921	2013-06-19 12:56:57+00:00	Taung Project #openresearch at #archeofoss by L.Bezzi et al. http://t.co/0tGe3zHE76 Impress!	en	1	PirroNord	openresearch	#archeofoss		http://arc-team-open-research.blogspot.it/			
